,國文,英文,數學,社會,自然
0,9,7,13,13,10
1,13,14,13,7,7
2,13,12,12,13,7
3,15,15,15,11,14
4,11,13,6,14,6
5,10,7,8,9,7
6,9,14,14,6,7
7,7,8,11,9,8
8,12,6,8,11,15
9,11,9,13,14,14
10,9,10,10,13,12
11,10,9,9,13,14
12,15,11,12,7,10
13,6,14,7,12,6
14,11,8,6,8,6
15,9,9,7,12,10
16,14,8,9,13,15
17,12,8,9,11,9
18,11,15,12,15,14
19,10,8,15,14,14
20,6,11,11,11,6
21,14,11,12,12,9
22,13,6,15,7,12
23,11,11,8,12,14
24,8,15,6,15,7
25,11,12,9,14,9
26,12,6,13,13,8
27,10,8,9,6,8
28,13,9,8,10,13
29,6,6,6,8,13
30,8,11,10,10,13
31,15,14,12,7,13
32,10,6,9,7,11
33,9,9,9,7,15
34,6,8,9,8,6
35,15,10,10,12,14
36,14,15,11,15,10
37,13,8,14,9,7
38,12,9,10,13,8
39,6,11,12,13,6
40,14,7,14,8,15
41,13,10,13,9,9
42,8,10,13,12,10
43,14,8,11,15,6
44,14,14,6,11,6
45,14,11,13,12,14
46,12,11,10,6,8
47,10,8,13,10,7
48,10,10,14,10,12
49,13,7,14,9,13
50,15,14,14,6,11
51,10,9,13,14,15
52,15,10,7,10,11
53,13,10,12,12,8
54,9,8,10,10,11
55,15,10,15,12,8
56,13,6,13,11,7
57,10,14,11,9,11
58,6,12,6,10,12
59,7,10,11,14,12
60,15,15,13,7,14
61,11,6,14,12,11
62,13,6,9,15,15
63,6,10,10,7,11
64,12,15,13,6,10
65,9,6,6,12,14
66,14,9,6,7,8
67,9,9,12,8,6
68,12,14,8,15,14
69,10,6,7,11,6
70,8,6,9,10,9
71,7,9,7,13,15
72,10,7,9,8,14
73,9,11,8,11,13
74,12,9,13,12,6
75,10,8,13,7,11
76,6,9,10,8,8
77,6,13,10,13,8
78,15,14,9,9,11
79,9,9,9,11,10
80,14,13,10,8,10
81,12,10,12,13,15
82,13,10,12,9,13
83,14,14,13,9,9
84,6,14,13,6,11
85,13,6,15,14,6
86,15,15,6,14,8
87,9,6,6,12,8
88,6,10,13,13,7
89,11,10,12,10,9
90,13,13,12,14,11
91,13,7,11,15,13
92,10,6,13,12,13
93,6,14,7,6,8
94,13,7,15,13,12
95,10,15,12,7,10
96,6,8,15,8,10
97,11,6,13,10,10
98,10,14,9,7,13
99,13,15,11,11,10
